"","raxml_BM","paleodb_BM"
"sigsq",0.0201516678466746,0.00377024058637534
"z0",2.62053006010868,2.15408288912009
"lnL",-149.943911197336,-16.1170287470911
"method",Brent,Brent
"k",2,2
"aic",303.887822394671,36.2340574941821
"aicc",304.061735438149,37.9483432084678
"CI",c(0.0145359726115531, 0.0279368796195957),c(0.00156927924150185, 0.00905811642900977)
"hessian",36.0000120096515,5.00000179393112
